"game_id"	"game_dt"	"home_team_id"	"away_team_id"	"inn_ct"	"bat_home_id"	"outs_ct"	"balls_ct"	"strikes_ct"	"pitch_seq_tx"	"event_tx"	"away_score_ct"	"home_score_ct"	"bat_id"	"pit_id"
NYA201409250	"20140925"	NYA	BAL	2	1	0	0	2	FCS	K	2	2	suzui001	gausk001
NYA201409250	"20140925"	NYA	BAL	4	1	1	1	2	CFBX	"43/G"	2	2	suzui001	gausk001
NYA201409250	"20140925"	NYA	BAL	7	1	0	3	2	LBBLBFB	W.1-2	2	2	suzui001	mcfat001
NYA201409250	"20140925"	NYA	BAL	8	1	2	2	1	BBCX	"13/G"	2	5	suzui001	saunj001
BOS201409270	"20140927"	BOS	NYA	1	0	0	2	0	BBX	"8/F"	0	0	suzui001	kellj001
BOS201409270	"20140927"	BOS	NYA	3	0	1	0	2	CFX	"53!/G"	0	9	suzui001	kellj001
BOS201409270	"20140927"	BOS	NYA	5	0	1	2	1	BFBX	S5/G	0	9	suzui001	kellj001
BOS201409270	"20140927"	BOS	NYA	8	0	0	0	1	SX	"8/L"	1	10	suzui001	kellj001
BOS201409270	"20140927"	BOS	NYA	9	0	1	1	2	FBFX	S7/G	4	10	suzui001	delar003
BOS201409280	"20140928"	BOS	NYA	1	0	0	2	2	BFBSFFX	"43/G"	0	0	suzui001	buchc001
BOS201409280	"20140928"	BOS	NYA	3	0	1	0	0	B	WP.2-3;1-2	0	0	suzui001	buchc001
BOS201409280	"20140928"	BOS	NYA	3	0	1	3	1	B.FBBX	T9/L.3-H;2-H	0	0	suzui001	buchc001
BOS201409280	"20140928"	BOS	NYA	5	0	0	1	1	CBX	"43/G"	4	0	suzui001	buchc001
